date,year,month,ngd,t,log_ngd,month_sin,month_cos,is_winter,lag1_log,lag12_log,lag1,lag12,roll3_log,roll12_log,roll3,roll12
2019-02-01,2019,2,2541,38,7.840312983320164,0.8660254037844386,0.5000000000000001,1,8.017307507688582,7.687997166393016,3033.0,2182.0,7.58986608257662,6.568709210421917,2151.6666666666665,1107.5
2019-03-01,2019,3,2198,39,7.6953031349635665,1.0,6.123233995736766e-17,1,7.840312983320164,7.52456122628536,2541.0,1853.0,7.8695552029935145,6.581402195165847,2632.6666666666665,1137.4166666666667
2019-04-01,2019,4,1634,40,7.3987862754199485,0.8660254037844387,-0.49999999999999983,0,7.6953031349635665,6.892641641172089,2198.0,985.0,7.85097454199077,6.595630687555698,2590.6666666666665,1166.1666666666667
2019-05-01,2019,5,781,41,6.660575149839686,0.49999999999999994,-0.8660254037844387,0,7.3987862754199485,6.104793232414985,1634.0,448.0,7.644800797901226,6.637809407076353,2124.3333333333335,1220.25
2019-06-01,2019,6,278,42,5.627621113690637,1.2246467991473532e-16,-1.0,0,6.660575149839686,5.3612921657094255,781.0,213.0,7.251554853407733,6.684124566861745,1537.6666666666667,1248.0
2019-07-01,2019,7,227,43,5.424950017481403,-0.4999999999999998,-0.8660254037844388,0,5.627621113690637,5.442417710521793,278.0,231.0,6.5623275129834235,6.706318645860179,897.6666666666666,1253.4166666666667
2019-08-01,2019,8,268,44,5.5909869805108565,-0.8660254037844384,-0.5000000000000004,0,5.424950017481403,5.318119993844216,227.0,204.0,5.904382093670576,6.704863004773479,428.6666666666667,1253.0833333333333
2019-09-01,2019,9,248,45,5.5134287461649825,-1.0,-1.8369701987210297e-16,0,5.5909869805108565,5.645446897643238,268.0,283.0,5.547852703894299,6.7276019203290325,257.6666666666667,1258.4166666666667
2019-10-01,2019,10,395,46,5.978885764901122,-0.8660254037844386,0.5000000000000001,0,5.5134287461649825,6.077642243349034,248.0,436.0,5.509788581385748,6.716600407705845,247.66666666666666,1255.5
2019-11-01,2019,11,769,47,6.645090969505644,-0.5000000000000004,0.8660254037844384,1,5.978885764901122,7.001245622069476,395.0,1098.0,5.694433830525654,6.708370701168518,303.6666666666667,1252.0833333333333
2019-12-01,2019,12,2029,48,7.615298339825815,-2.4492935982947064e-16,1.0,1,6.645090969505644,7.751045117971802,769.0,2324.0,6.04580182685725,6.678691146788199,470.6666666666667,1224.6666666666667
2020-01-01,2020,1,2975,49,7.99799931797973,0.49999999999999994,0.8660254037844387,1,7.615298339825815,8.017307507688582,2029.0,3033.0,6.746425024744194,6.667378915276033,1064.3333333333333,1200.0833333333333
2020-02-01,2020,2,2762,50,7.923710333969238,0.8660254037844386,0.5000000000000001,1,7.99799931797973,7.840312983320164,2975.0,2541.0,7.419462875770396,6.665769899466962,1924.3333333333333,1195.25
2020-03-01,2020,3,2172,51,7.683403681053826,1.0,6.123233995736766e-17,1,7.923710333969238,7.6953031349635665,2762.0,2198.0,7.845669330591594,6.672719678687719,2588.6666666666665,1213.6666666666667
2020-04-01,2020,4,1715,52,7.44716835960004,0.8660254037844387,-0.49999999999999983,0,7.683403681053826,7.3987862754199485,2172.0,1634.0,7.868371111000932,6.671728057528573,2636.3333333333335,1211.5
2020-05-01,2020,5,833,53,6.725033642166843,0.49999999999999994,-0.8660254037844387,0,7.44716835960004,6.660575149839686,1715.0,781.0,7.684760791541034,6.675759897876914,2216.3333333333335,1218.25
2020-06-01,2020,6,380,54,5.940171252720432,1.2246467991473532e-16,-1.0,0,6.725033642166843,5.627621113690637,833.0,278.0,7.28520189427357,6.681131438904178,1573.3333333333333,1222.5833333333333
2020-07-01,2020,7,241,55,5.484796933490655,-0.4999999999999998,-0.8660254037844388,0,5.940171252720432,5.424950017481403,380.0,227.0,6.704124418162439,6.707177283823327,976.0,1231.0833333333333
2020-08-01,2020,8,278,56,5.627621113690637,-0.8660254037844384,-0.5000000000000004,0,5.484796933490655,5.5909869805108565,241.0,268.0,6.0500006094593095,6.7121645268240995,484.6666666666667,1232.25
2020-09-01,2020,9,247,57,5.5093883366279774,-1.0,-1.8369701987210297e-16,0,5.627621113690637,5.5134287461649825,278.0,248.0,5.684196433300574,6.715217371255747,299.6666666666667,1233.0833333333333
2020-10-01,2020,10,384,58,5.950642552587727,-0.8660254037844386,0.5000000000000001,0,5.5093883366279774,5.978885764901122,247.0,395.0,5.540602127936423,6.714880670460997,255.33333333333334,1233.0
2020-11-01,2020,11,1155,59,7.051855622955894,-0.5000000000000004,0.8660254037844384,1,5.950642552587727,6.645090969505644,384.0,769.0,5.695884000968781,6.712527069434881,303.0,1232.0833333333333
2020-12-01,2020,12,2321,60,7.749753406274437,-2.4492935982947064e-16,1.0,1,7.051855622955894,7.615298339825815,1155.0,2029.0,6.170628837390534,6.746424123889068,595.3333333333334,1264.25
